Age 	 GS
5.426709300000000439e+03	1.776999999999999886e+02
5.426723600000000260e+03	1.779399999999999977e+02
5.426737900000000081e+03	1.778449999999999989e+02
5.426752300000000105e+03	1.771719999999999970e+02
5.426766700000000128e+03	1.758770000000000095e+02
5.426781200000000354e+03	1.750130000000000052e+02
5.426795699999999670e+03	1.746440000000000055e+02
5.426810199999999895e+03	1.747409999999999854e+02
5.426824599999999919e+03	1.752659999999999911e+02
5.426839200000000346e+03	1.755840000000000032e+02
5.426853799999999865e+03	1.760979999999999848e+02
5.426868500000000495e+03	1.764559999999999889e+02
5.426883200000000215e+03	1.771240000000000236e+02
5.426898000000000138e+03	1.780270000000000152e+02
5.426912800000000061e+03	1.790729999999999791e+02
5.426927700000000186e+03	1.793779999999999859e+02
5.426942700000000514e+03	1.795359999999999729e+02
5.426957800000000134e+03	1.799090000000000202e+02
5.426973000000000866e+03	1.802709999999999866e+02
5.426988199999999779e+03	1.804390000000000214e+02
5.427003400000000511e+03	1.806100000000000136e+02
5.427018799999999828e+03	1.811370000000000005e+02
5.427034300000000258e+03	1.818420000000000130e+02
5.427050000000000182e+03	1.823549999999999898e+02
