Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
244.900	1.00	2.34	1.14	0.00	6.19	0.90	1.22	17.01	0.24	1.45	0.30	0.013	3.10	0.36	0.94	6142.1987	6.1422
244.927	0.96	4.57	1.63	0.00	11.05	0.85	1.26	14.82	0.31	1.78	0.28	0.008	5.82	0.48	0.93	6142.2703	6.1423
244.954	0.93	4.12	0.94	0.00	12.35	0.78	1.25	13.64	0.29	1.66	0.19	0.014	2.45	0.59	0.97	6142.3436	6.1423
244.981	1.17	2.53	0.77	0.08	7.29	0.84	1.13	12.53	0.26	1.57	0.14	0.000	6.18	0.20	0.74	6142.4198	6.1424
245.008	1.13	2.92	0.56	0.09	6.42	0.84	1.47	12.78	0.29	1.85	0.19	0.004	2.06	0.17	0.81	6142.5001	6.1425
245.035	1.12	2.75	0.98	0.17	7.93	0.83	1.47	13.10	0.21	1.37	0.17	0.012	4.44	0.37	0.90	6142.5857	6.1426
245.062	0.84	1.88	0.63	0.00	3.68	0.75	1.37	15.66	0.29	1.61	0.06	0.006	9.72	0.44	0.89	6142.6778	6.1427
245.089	1.10	2.29	0.70	0.00	6.94	0.77	1.42	14.58	0.25	1.77	0.25	0.008	19.60	0.54	0.82	6142.7775	6.1428
245.116	0.96	4.88	1.10	0.00	14.93	0.79	1.04	15.59	0.26	1.26	0.22	0.008	5.13	0.37	0.85	6142.8861	6.1429
245.144	0.89	4.58	1.38	0.00	8.66	0.77	1.27	14.56	0.32	1.40	0.37	0.010	4.68	0.36	0.77	6143.0096	6.1430
245.171	1.07	4.79	2.10	0.17	16.01	0.83	1.21	11.92	0.26	1.38	0.51	0.013	7.54	0.61	0.75	6143.1759	6.1432
245.198	0.99	6.86	0.81	0.00	11.13	0.82	1.65	10.81	0.24	1.40	0.51	0.011	4.90	0.64	0.78	6143.3919	6.1434
245.225	0.85	4.34	0.88	0.08	7.29	0.83	2.04	10.07	0.27	1.15	0.27	0.008	2.32	0.46	0.91	6143.6236	6.1436
245.252	1.10	3.08	0.69	0.00	9.16	0.82	1.48	9.37	0.25	0.96	0.27	0.009	3.11	0.69	0.66	6143.8365	6.1438
245.279	1.06	5.18	1.17	0.00	12.64	0.85	1.32	11.77	0.24	1.20	0.31	0.022	5.85	0.35	0.66	6143.9967	6.1440
245.306	1.06	4.00	1.23	0.00	13.07	0.81	1.45	13.05	0.27	1.54	0.38	0.030	4.93	0.52	0.78	6144.1119	6.1441
245.333	0.95	4.52	1.61	0.00	7.95	0.83	1.41	13.53	0.26	1.23	0.17	0.006	4.86	0.54	0.89	6144.2191	6.1442
245.360	1.14	3.75	1.62	0.08	13.36	0.85	1.31	14.67	0.23	1.47	0.39	0.013	2.18	0.46	0.90	6144.3188	6.1443
245.387	0.83	3.64	1.21	0.08	15.90	0.84	1.18	16.81	0.29	1.38	0.34	0.024	6.02	0.58	0.92	6144.4116	6.1444
245.414	1.26	3.47	1.26	0.08	5.79	0.84	0.87	18.29	0.25	1.01	0.20	0.015	4.59	0.38	1.00	6144.498	6.1445
245.441	0.71	2.98	1.09	0.09	9.13	0.83	0.87	16.90	0.27	1.43	0.16	0.008	7.56	0.34	0.89	6144.5786	6.1446
245.468	1.00	2.93	0.31	0.00	5.32	0.79	1.05	15.06	0.26	1.25	0.27	0.008	2.63	0.31	0.89	6144.654	6.1447
245.495	1.20	3.05	1.62	0.00	10.40	0.82	1.07	15.31	0.24	1.19	0.21	0.017	6.05	0.45	0.83	6144.7247	6.1447
245.522	0.86	1.83	0.73	0.08	6.48	0.80	1.25	13.02	0.25	1.49	0.13	0.086	7.31	0.32	0.75	6144.7912	6.1448
245.549	1.05	6.80	2.12	0.00	15.74	0.86	1.19	10.89	0.27	1.21	0.46	0.026	12.98	0.90	0.50	6144.8541	6.1449
245.576	1.06	6.21	1.59	0.08	12.56	0.85	1.55	11.74	0.28	1.44	0.21	0.019	3.79	0.70	0.89	6144.914	6.1449
245.603	1.23	3.78	0.82	0.00	16.16	0.87	1.48	10.69	0.24	1.75	0.16	0.011	17.48	0.22	0.85	6144.9714	6.1450
245.630	1.35	3.53	0.95	0.00	9.67	0.91	1.43	12.51	0.27	1.42	0.09	0.030	10.82	0.38	0.82	6145.0268	6.1450
245.657	1.29	4.42	1.20	0.25	13.24	0.93	1.32	14.57	0.26	1.20	0.26	0.051	10.84	0.54	0.76	6145.0802	6.1451
245.685	1.32	4.20	1.36	0.08	14.59	0.96	1.05	18.13	0.21	1.40	0.21	0.039	4.91	0.51	1.07	6145.1335	6.1451
245.712	1.20	6.39	2.27	0.00	22.78	0.94	0.92	17.89	0.26	1.48	0.53	0.020	5.25	0.76	1.04	6145.183	6.1452
245.739	0.91	4.16	1.62	0.00	15.49	0.86	1.13	14.95	0.21	1.58	0.20	0.021	9.28	0.53	1.37	6145.2309	6.1452
245.766	0.94	3.80	0.69	0.00	9.00	0.83	1.19	13.81	0.28	1.38	0.15	0.060	7.48	0.79	1.06	6145.2771	6.1453
245.793	1.00	3.40	0.54	0.00	8.23	0.88	1.26	12.68	0.24	1.35	0.24	0.011	4.32	0.53	0.86	6145.3218	6.1453
245.820	1.13	2.53	0.73	0.00	9.22	0.87	1.42	11.44	0.29	1.59	0.15	0.012	4.92	0.38	0.66	6145.3652	6.1454
245.847	0.98	4.32	0.86	0.08	9.72	0.89	1.47	10.56	0.20	1.43	0.11	0.034	4.62	0.41	0.65	6145.4073	6.1454
245.874	1.17	6.01	2.67	0.25	13.18	0.93	1.75	12.40	0.24	1.53	0.23	0.004	11.06	0.46	0.81	6145.4483	6.1454
245.901	1.34	6.63	1.18	0.16	21.64	0.87	1.74	11.81	0.25	1.66	0.33	0.020	11.64	0.99	0.90	6145.4883	6.1455
245.928	1.07	3.97	0.96	0.00	8.69	0.87	1.86	12.21	0.28	1.59	0.17	0.013	3.18	0.34	0.97	6145.5274	6.1455
245.955	0.79	3.29	0.88	0.00	9.28	0.84	1.82	12.89	0.25	1.54	0.08	0.006	4.24	0.24	0.80	6145.5656	6.1456
245.982	0.79	2.94	0.72	0.00	7.95	0.87	1.68	11.99	0.30	1.84	0.09	0.021	4.46	0.14	0.66	6145.6032	6.1456
246.009	0.72	3.15	1.02	0.00	8.80	0.83	1.61	11.90	0.28	1.65	0.13	0.000	3.74	0.41	0.67	6145.6403	6.1456
246.036	1.07	5.30	1.08	0.00	15.05	0.85	1.66	12.33	0.24	1.86	0.21	0.000	4.54	0.71	1.17	6145.6769	6.1457
246.063	0.92	5.23	1.39	0.09	14.92	0.87	1.67	12.78	0.29	1.89	0.21	0.021	8.89	0.72	1.12	6145.7132	6.1457
246.090	0.69	3.73	0.96	0.00	13.88	0.81	1.33	14.18	0.25	1.15	0.12	0.018	7.63	0.43	1.10	6145.7492	6.1457
246.117	0.98	4.56	1.23	0.09	12.36	0.87	1.21	13.43	0.23	1.54	0.08	0.020	9.36	0.64	0.71	6145.7852	6.1458
246.144	1.08	9.43	0.50	0.00	6.32	0.88	1.42	13.62	0.29	1.13	0.08	0.010	7.09	0.34	0.76	6145.8212	6.1458
246.171	1.07	2.20	0.71	0.00	6.27	0.85	1.10	14.46	0.27	1.42	0.10	0.009	7.35	0.20	0.65	6145.8573	6.1459
246.199	1.34	3.70	1.55	0.00	11.63	0.87	1.21	13.98	0.27	1.57	0.28	0.006	4.04	0.35	0.68	6145.8951	6.1459
246.226	0.89	5.90	1.79	0.16	11.57	0.87	1.39	14.28	0.22	1.44	0.11	0.029	8.23	0.81	1.03	6145.9318	6.1459
246.253	0.88	2.48	2.05	0.00	9.48	0.86	1.73	12.66	0.28	1.53	0.10	0.018	8.43	0.45	0.97	6145.9691	6.1460
246.280	1.09	3.19	1.01	0.00	11.31	0.80	1.76	11.95	0.29	1.16	0.08	0.017	13.88	0.68	0.77	6146.0069	6.1460
246.307	0.76	2.48	0.82	0.00	5.76	0.86	1.71	12.47	0.31	1.14	0.14	0.026	7.66	0.06	0.59	6146.0445	6.1460
246.334	1.02	2.49	0.83	0.17	9.15	0.89	1.40	11.30	0.29	1.30	0.10	0.017	18.74	0.40	0.62	6146.0812	6.1461
246.361	1.08	3.68	0.58	0.00	13.29	0.84	1.68	12.71	0.24	1.43	0.13	0.022	5.21	0.29	0.92	6146.1173	6.1461
246.388	1.08	4.19	1.30	0.00	17.51	0.94	1.58	11.24	0.32	1.57	0.18	0.011	9.31	0.49	0.72	6146.1529	6.1462
246.415	1.09	1.72	0.71	0.08	8.58	0.89	0.89	16.94	0.32	1.44	0.15	0.013	4.86	0.57	0.92	6146.1879	6.1462
246.442	0.99	3.90	0.61	0.00	7.35	0.93	0.97	17.93	0.24	1.19	0.13	0.023	5.25	0.33	0.96	6146.2224	6.1462
246.469	0.95	3.65	1.36	0.26	13.40	0.87	1.14	15.34	0.19	1.66	0.13	0.016	4.82	0.31	0.91	6146.2567	6.1463
246.496	0.88	4.19	1.68	0.09	13.13	0.89	1.37	14.24	0.19	1.30	0.19	0.019	10.78	0.46	1.01	6146.2906	6.1463
246.523	0.58	6.08	1.65	0.00	16.82	0.83	1.15	15.24	0.24	1.16	0.21	0.008	39.07	1.02	1.09	6146.3244	6.1463
246.550	0.77	3.03	0.80	0.00	9.62	0.77	0.75	21.05	0.22	1.38	0.08	0.070	35.95	0.59	1.04	6146.358	6.1464
246.577	0.73	2.45	1.40	0.00	8.27	0.85	0.89	19.55	0.37	1.44	0.27	0.030	6.04	0.48	0.99	6146.3917	6.1464
246.604	0.99	5.02	2.01	0.08	19.12	0.76	0.86	17.14	0.28	1.28	0.34	0.009	9.17	0.52	1.02	6146.4253	6.1464
246.631	0.82	3.23	1.04	0.00	14.86	0.77	1.27	14.11	0.27	1.94	0.11	0.024	5.90	0.43	1.39	6146.4591	6.1465
246.658	1.09	6.65	4.51	0.17	19.06	0.83	1.31	13.46	0.24	1.86	0.31	0.084	14.77	0.70	1.03	6146.4931	6.1465
246.685	0.80	5.69	2.29	0.00	17.51	0.79	1.48	12.82	0.29	1.49	0.37	0.026	4.82	0.60	1.77	6146.5274	6.1465
246.712	0.80	8.55	2.48	0.00	22.88	0.80	1.44	12.16	0.29	1.67	0.40	0.023	14.29	0.99	1.64	6146.5621	6.1466
246.740	0.76	7.63	1.99	0.08	20.46	0.87	1.38	12.54	0.26	1.37	0.27	0.047	19.51	0.66	1.62	6146.5985	6.1466
246.767	0.99	7.03	0.88	0.00	21.50	0.88	1.33	11.96	0.26	1.87	0.34	0.031	19.03	0.73	1.22	6146.6341	6.1466
246.794	1.18	6.67	2.13	0.00	19.17	0.88	1.51	12.12	0.26	1.33	0.27	0.012	5.38	0.96	1.32	6146.6704	6.1467
246.821	1.27	5.19	1.28	0.00	12.73	0.88	1.42	12.91	0.24	1.47	0.13	0.007	4.58	0.48	1.29	6146.7073	6.1467
246.848	1.17	3.11	0.87	0.00	11.39	0.94	1.30	14.16	0.31	1.18	0.22	0.000	4.60	0.27	0.77	6146.745	6.1467
246.875	1.65	4.10	1.77	0.18	18.75	0.97	1.02	17.44	0.23	1.39	0.29	0.018	4.76	0.32	1.06	6146.7836	6.1468
246.902	1.19	4.58	2.22	0.00	31.69	0.92	1.02	19.67	0.27	1.28	0.30	0.027	12.18	1.14	1.22	6146.8231	6.1468
246.929	1.38	5.23	1.21	0.00	27.29	0.92	0.87	12.39	0.30	1.42	0.27	0.016	7.98	0.93	1.14	6146.8635	6.1469
246.956	1.08	6.16	1.56	0.00	36.36	0.90	1.18	14.85	0.28	1.38	0.18	0.027	17.84	0.61	1.40	6146.9051	6.1469
246.983	0.96	4.83	2.43	0.00	14.95	0.83	1.32	13.33	0.26	1.54	0.11	0.021	3.89	0.56	1.10	6146.9478	6.1469
247.010	1.25	4.66	2.51	0.09	35.49	0.93	1.59	13.41	0.29	1.53	0.18	0.373	20.37	0.76	1.00	6146.9918	6.1470
247.037	1.09	5.90	3.50	0.16	25.53	0.89	1.55	11.60	0.33	1.73	0.18	0.036	9.13	0.94	1.09	6147.0361	6.1470
247.064	0.82	11.27	3.10	0.08	32.37	0.91	1.71	12.65	0.26	1.72	0.19	0.029	64.01	0.69	1.44	6147.0789	6.1471
247.091	0.93	7.00	2.38	0.00	17.99	0.97	1.62	12.61	0.25	1.42	0.28	0.021	11.69	0.33	1.90	6147.1209	6.1471
247.118	1.18	12.14	4.03	0.08	41.06	0.90	1.39	11.48	0.25	1.70	0.30	0.029	10.16	1.25	1.42	6147.1626	6.1472
247.145	1.11	9.13	2.59	0.08	26.55	0.89	1.56	12.02	0.28	1.44	0.14	0.016	21.77	0.38	1.06	6147.2046	6.1472
247.172	1.63	10.57	4.10	0.08	29.88	0.91	1.46	14.15	0.28	2.01	0.18	0.040	23.05	0.83	1.33	6147.2476	6.1472
247.199	1.24	9.88	4.46	0.24	26.00	0.92	1.43	16.10	0.20	1.63	0.18	0.039	27.19	0.80	1.41	6147.2921	6.1473
247.226	1.34	8.65	2.93	0.08	19.38	0.90	1.32	14.02	0.21	1.48	0.14	0.265	9.92	0.99	1.57	6147.3388	6.1473
247.253	1.20	4.16	2.24	0.00	11.80	0.80	1.43	14.24	0.23	1.89	0.10	0.002	11.84	0.34	1.22	6147.3883	6.1474
247.281	1.28	10.70	2.78	0.08	21.92	0.82	1.41	16.49	0.22	1.76	0.16	0.040	21.51	0.85	1.26	6147.4431	6.1474
247.308	1.35	5.02	4.22	0.00	13.26	0.81	1.42	16.56	0.22	1.52	0.17	0.075	105.37	0.58	1.76	6147.5	6.1475
247.335	1.29	10.89	5.09	0.25	17.95	0.80	1.47	16.28	0.20	1.95	0.29	0.037	38.91	1.07	1.30	6147.5616	6.1476
247.362	1.43	5.62	1.87	0.00	13.68	0.80	1.56	17.05	0.17	1.72	0.28	0.059	28.47	0.76	1.94	6147.6283	6.1476
247.389	1.09	7.14	2.04	0.00	6.56	0.75	1.16	17.64	0.20	1.75	0.09	0.387	23.77	0.76	1.45	6147.7008	6.1477
247.416	1.13	4.00	2.37	0.08	5.94	0.74	1.10	17.20	0.19	1.65	0.05	0.032	11.87	0.34	0.99	6147.7797	6.1478
247.443	0.92	2.58	1.19	0.00	7.90	0.75	0.96	17.98	0.17	1.33	0.07	0.034	4.56	0.51	0.99	6147.8657	6.1479
247.470	0.81	7.52	2.01	0.08	11.58	0.77	0.83	18.03	0.18	1.37	0.05	0.148	10.48	0.38	0.70	6147.9593	6.1480
247.497	0.84	1.75	1.77	0.08	38.21	0.75	0.74	18.08	0.17	1.46	0.11	0.008	9.33	0.33	0.81	6148.0795	6.1481
247.524	1.02	6.84	0.75	0.16	18.13	0.72	0.59	19.04	0.16	1.52	0.11	0.013	11.63	0.43	0.83	6148.2842	6.1483
247.551	0.81	2.03	2.15	0.08	10.32	0.74	0.76	18.52	0.16	1.49	0.07	0.021	12.28	0.44	0.79	6148.5354	6.1485
247.578	1.34	1.54	2.09	0.00	11.66	0.73	0.70	18.63	0.15	1.22	0.05	0.024	10.56	0.23	0.96	6148.7852	6.1488
247.605	1.26	4.98	2.28	0.00	11.24	0.73	0.69	18.31	0.18	1.18	0.09	0.024	3.99	0.14	1.42	6148.9855	6.1490
247.632	1.21	4.87	1.22	0.00	9.05	0.71	0.68	20.24	0.22	1.41	0.06	0.050	81.44	0.69	1.10	6149.133	6.1491
247.659	0.76	3.88	1.04	0.08	4.82	0.70	0.73	19.23	0.22	1.42	0.09	0.015	5.67	0.31	0.87	6149.275	6.1493
247.686	0.96	8.21	1.57	0.00	11.82	0.70	0.94	17.79	0.17	1.75	0.09	0.002	41.81	0.42	0.97	6149.4104	6.1494
247.713	0.99	3.67	1.36	0.00	8.29	0.68	1.11	18.75	0.13	1.61	0.09	0.022	12.06	0.80	0.97	6149.5376	6.1495
247.740	0.89	6.10	1.45	0.00	25.37	0.70	0.97	18.92	0.15	1.41	0.23	0.024	46.98	0.50	1.30	6149.6549	6.1497
247.767	0.92	5.96	5.60	0.16	20.76	0.67	0.79	18.31	0.17	1.23	0.14	0.028	39.02	0.75	1.55	6149.7606	6.1498
247.794	1.04	13.16	3.09	0.09	17.57	0.67	0.62	19.51	0.24	1.20	0.09	0.031	69.51	0.85	1.33	6149.8531	6.1499
247.822	0.90	5.05	1.84	0.08	8.49	0.67	0.59	19.52	0.14	1.19	0.10	0.040	7.86	0.51	1.18	6149.9333	6.1499
247.849	1.10	8.06	4.61	0.08	13.25	0.68	0.69	18.11	0.20	1.53	0.07	0.009	24.96	2.71	1.17	6149.9936	6.1500
247.876	0.92	7.40	2.20	0.08	16.17	0.67	0.80	17.72	0.16	1.39	0.16	0.011	56.30	0.68	1.12	6150.042	6.1500
247.903	1.02	9.04	3.30	0.18	15.91	0.73	0.71	19.79	0.21	1.18	0.20	0.020	56.67	0.51	1.43	6150.0862	6.1501
247.930	1.15	11.40	5.62	0.08	24.82	0.73	0.66	18.51	0.17	1.27	0.20	0.086	33.77	1.34	2.54	6150.1266	6.1501
247.957	0.94	9.54	4.89	0.51	24.65	0.72	0.83	17.84	0.20	1.47	0.21	0.053	16.00		2.10	6150.1635	6.1502
247.984	0.97	10.93	3.99	0.00	19.51	0.73	0.72	18.35	0.20	1.65	0.31	0.024	23.23	0.67	1.88	6150.197	6.1502
248.011	0.78	12.96	5.54	0.09	33.45	0.72	0.99	16.57	0.17	1.70	0.30	0.060	31.29	0.97	2.74	6150.2275	6.1502
248.038	0.70	10.75	3.73	0.00	22.02	0.70	0.89	15.99	0.17	1.46	0.18	0.068	15.32	0.67	2.37	6150.2551	6.1503
248.065	1.18	7.79	7.32	0.28	35.97	0.70	0.86	18.10	0.21	1.13	0.22	0.030	17.63	0.67	1.55	6150.2803	6.1503
248.092	1.03	13.55	3.26	0.10	34.42	0.70	0.61	19.21	0.29	1.01	0.22	0.033	121.57	0.60	2.00	6150.3032	6.1503
248.119	1.07	17.40	5.80	0.23	48.20	0.76	0.73	17.16	0.28	1.05	0.31	0.011	42.82	0.78	1.39	6150.3241	6.1503
248.146	1.22	9.86	6.46	0.30	36.98	0.76	0.85	14.45	0.26	1.33	0.23	0.073	61.62	5.92	1.97	6150.3432	6.1503
248.173	1.12	18.45	5.67	0.09	68.28	0.88	1.26	12.67	0.15	1.79	0.27	0.256	21.10	1.09	1.69	6150.3608	6.1504
248.200	1.06	14.07	3.69	0.26	77.01	0.84	1.56	11.83	0.17	2.05	0.39	0.048	45.80	0.89	1.76	6150.3772	6.1504
248.227			18.93	0.38	205.53	0.85	1.49	14.42	0.27	1.71	2.64	0.015		2.74	1.16	6150.3927	6.1504
248.254	1.53	28.71	7.60	0.36	97.23	0.73	1.06	23.97	0.27	1.19	0.56		147.68	4.62		6150.4074	6.1504
248.281	0.87	10.40	7.14	0.00	23.55	0.77	0.96	14.85	0.28	1.68	0.48	0.038	40.05	1.31	1.84	6150.4217	6.1504
248.308	1.52	12.75	3.23	0.12	31.65	0.77	1.18	14.10	0.26	1.46	0.50	0.257	58.79	1.03	1.55	6150.4358	6.1504
248.336	1.17	11.56	1.91	0.00	37.51	0.89	1.09	15.66	0.28	1.38	0.21	0.098	37.65	0.72	1.51	6150.4504	6.1505
248.363	1.14	7.59	2.82	0.00	22.17	0.85	1.01	12.91	0.33	1.51	0.32	0.049	14.96	0.82	1.43	6150.4649	6.1505
248.390	1.43	16.56	3.64	0.18	32.69	0.82	1.08	14.67	0.36	1.22	0.18	0.049	9.95	1.00	1.97	6150.48	6.1505
248.417	1.36	10.64	4.25	0.01	31.14	0.82	1.10	11.75	0.41	1.01	0.24	0.054	19.03	1.64	1.15	6150.4959	6.1505
248.444	1.24	8.64	2.22	0.00	22.27	0.88	1.62	10.87	0.34	1.21	0.11	0.061	18.18	1.01	1.44	6150.513	6.1505
248.471	1.47	3.90	1.16	0.01	8.05	0.89	1.34	10.03	0.39	1.52	0.16	0.023	4.92	0.87	1.33	6150.5314	6.1505
248.498	1.33	5.62	0.73	0.01	10.00	0.85	1.86	8.99	0.27	1.18	0.18	0.014	6.57	0.74	1.45	6150.5515	6.1506
248.525	1.54	3.77	1.27	0.00	7.72	0.83	1.64	9.37	0.29	1.35	0.97	0.068	4.64	0.28	1.19	6150.5735	6.1506
248.552	1.58	12.87	4.49	0.34	26.21	0.76	1.53	10.15	0.38	1.25	0.63	0.028	22.55	1.38	1.79	6150.5976	6.1506
248.579	1.56	10.23	3.16	0.48	19.86	0.77	1.19	12.07	0.31	1.28	0.61	0.022	5.74	0.58	2.14	6150.6241	6.1506
248.606	1.21	14.95	5.27	0.10	19.14	0.75	0.97	11.40	0.32	1.46	0.79	0.020	9.00	1.04	1.81	6150.6533	6.1507
248.633	1.03	21.62	7.70	0.33	17.77	0.73	1.12	13.48	0.31	1.18	0.78	0.032	12.36	1.66	2.94	6150.6855	6.1507
248.660	1.28	23.43	7.11	0.36	18.97	0.82	0.98	12.82	0.26	1.25	1.62	0.017	12.93	1.48	2.74	6150.7208	6.1507
248.687	1.36	28.74	9.73	0.01	76.72	0.73	0.98	12.61	0.31	1.06	2.58	0.035	7.62	4.95	3.10	6150.7596	6.1508
248.714	1.24	25.84	7.74	0.21	18.31	0.72	1.06	12.42	0.27	1.31	0.92	0.039	5.59	2.43	4.11	6150.8021	6.1508
248.741	0.98	11.73	3.68	0.01	34.50	0.76	1.10	13.05	0.21	1.13	1.14	0.012	3.64	0.93	2.53	6150.8486	6.1508
248.768	1.50	27.59	9.65	0.20	26.69	0.72	1.16	11.32	0.41	1.33	0.92	0.009	8.25	2.38	3.08	6150.8993	6.1509
248.795	1.57	21.77	5.61	0.01	17.81	0.82	1.40	10.22	0.25	1.22	0.92	0.011	4.81	0.96	2.98	6150.9545	6.1510
248.822	2.17	22.34	8.75	0.23	27.90	0.92	1.91	11.51	0.23	1.73	1.21	0.010	7.45	1.62	4.07	6151.0205	6.1510
248.849	1.98	19.79	6.81	0.01	22.26	0.77	2.05	10.58	0.27	1.82	0.71	0.019	33.01	1.66	4.22	6151.2017	6.1512
248.877	1.45	17.11	6.00	0.10	22.67	0.79	1.94	9.87	0.24	1.60	0.82	0.021	7.94	1.65	3.38	6151.4838	6.1515
248.904	1.42	10.93	2.51	0.01	15.02	0.76	1.96	10.55	0.27	1.46	0.37	0.023	3.06	0.93	3.39	6151.762	6.1518
248.931	0.87	16.28	2.07	0.01	9.99	0.73	1.80	9.29	0.27	1.42	0.17	0.014	5.08	0.40	1.99	6151.963	6.1520
248.958	0.94	7.28	1.89	0.09	11.29	0.67	1.78	8.52	0.25	1.50	0.16	0.015	6.84	0.44	1.23	6152.0405	6.1520
248.985	1.84	24.13	7.85	0.10	28.72	0.76	1.63	9.55	0.23	1.21	1.28	0.024	21.18	1.27	1.58	6152.099	6.1521
249.012	1.32	21.11	9.07		23.08	0.78	1.55	9.62	0.22	1.47	0.97	0.026	9.93	1.16	5.26	6152.1534	6.1522
249.039	1.23	28.72	10.66	0.09	39.49	0.71	1.40	9.51	0.28	1.58	0.82	0.017	15.65	1.58	4.10	6152.2038	6.1522
249.066	1.23	18.56	6.80	0.10	28.05	0.77	1.44	9.93	0.21	1.56	0.57	0.021	13.85	1.08	4.81	6152.2505	6.1523
249.093	1.36	20.09	8.18	0.23	22.60	0.78	1.41	10.76	0.21	1.18	0.29	0.060	46.91	1.30	4.76	6152.2938	6.1523
249.120	1.23	11.52	4.44	0.33	12.76	0.78	1.15	8.58	0.24	1.04	0.37	0.070	10.72	0.66	3.33	6152.3338	6.1523
249.147	0.85	7.01	1.87	0.01	11.90	0.82	1.32	7.70	0.26	1.09	0.34	0.058	6.93	0.51	1.52	6152.3708	6.1524
249.174	1.19	9.35	4.47	0.01	26.60	0.92	1.31	7.32	0.23	1.13	0.38	0.021	16.39	0.86	2.20	6152.405	6.1524
249.201	1.09	11.12	4.98	0.09	48.73	0.89	0.95	7.85	0.24	1.17	0.25	0.057	6.07	1.03	1.77	6152.4366	6.1524
249.228	1.53	12.00	6.78	0.10	16.26	0.98	0.81	11.59	0.21	0.93	0.42	0.025	13.05	0.84	1.88	6152.4658	6.1525
249.255	1.17	10.38	3.75	0.01	12.47	0.94	0.77	12.56	0.27	0.98	0.21	0.020	13.17	1.05	1.71	6152.4928	6.1525
249.282	0.92	3.76	13.24	0.00	12.01	0.88	0.78	12.40	0.23	0.95	0.08	0.015	10.04	0.48	1.34	6152.5179	6.1525
249.309	1.21	4.19	3.11	0.24	8.36	0.97	0.81	11.59	0.20	0.99	0.28	0.000	2.38	0.19	0.81	6152.5413	6.1525
249.336	1.03	4.78	1.72	0.22	8.45	0.91	0.90	11.50	0.24	1.25	0.25	-0.002	3.41	0.48	1.03	6152.5632	6.1526
249.363	1.38	10.85	4.01	0.22	12.22	0.94	0.89	11.94	0.20	1.03	0.51	0.003	9.49	1.04	1.21	6152.5838	6.1526
249.391	1.47	19.87	7.77	0.09	24.41	0.86	1.02	11.65	0.19	1.26	0.64	0.038	13.32	1.91	4.13	6152.6041	6.1526
249.418	1.31	20.26	7.89	0.21	20.35	0.86	1.01	10.88	0.20	1.08	0.75	0.023	7.60	2.25	2.93	6152.6228	6.1526
249.445	1.28	22.89	12.99	0.09	24.23	0.84	1.05	9.00	0.20	1.25	0.53	0.026	18.10	2.21	5.92	6152.6408	6.1526
249.472	0.88	17.45	8.01	0.09	12.16	0.82	1.38	8.25	0.20	1.23	0.16	0.013	9.33	1.33	3.12	6152.6585	6.1527
249.499	0.79	8.61	3.33	0.09	11.35	0.79	1.34	7.53	0.21	1.36	0.22	0.018	11.69	0.82	2.11	6152.676	6.1527
249.526	0.79	3.62	1.69	0.21	7.50	0.85	1.44	7.28	0.21	1.35	0.10	0.003	6.53	0.70	1.14	6152.6936	6.1527
249.553	0.90	10.79	3.94	0.01	20.71	0.78	1.30	7.37	0.23	1.22	0.23	0.003	15.70	0.97	0.77	6152.7114	6.1527
249.580	0.80	11.52	3.37	0.10	14.81	0.76	1.45	7.02	0.23	1.35	0.21	0.042	8.37	0.33	1.86	6152.7297	6.1527
249.607	0.74	7.38	2.48	0.10	9.65	0.76	1.50	8.04	0.22	1.44	0.27	0.014	6.38	0.69	1.41	6152.7487	6.1527
249.634	0.80	6.53	2.72	0.10	9.87	0.72	1.66	7.59	0.22	1.55	0.14	0.000	4.88	0.56	1.18	6152.7686	6.1528
249.661	0.71	5.04	2.03	0.01	9.91	0.67	1.70	7.17	0.17	1.44	0.10	0.003	3.82	0.39	0.89	6152.7897	6.1528
249.688	1.07	1.45	0.87	0.00	4.88	0.70	1.75	7.57	0.15	1.45	0.03	0.010	2.59	0.49	0.91	6152.8121	6.1528
249.715	0.79	6.47	1.34	0.00	9.55	0.74	1.52	8.33	0.19	1.44	0.23	0.020	7.03	0.75	0.59	6152.8361	6.1528
249.742	0.68	4.62	1.09	0.01	9.44	0.67	1.13	8.29	0.24	1.04	0.10	0.024	4.84	0.50	1.38	6152.8619	6.1529
249.769	0.69	2.94	1.93	0.01	9.49	0.72	1.15	7.07	0.23	0.88	0.14	0.005	3.41	0.20	0.71	6152.8897	6.1529
249.796	0.74	6.52	2.40	0.21	12.20	0.76	1.28	6.57	0.21	0.69	0.13	0.114	9.07	0.55	1.01	6152.9198	6.1529
249.823	0.76	6.92	1.57	0.01	10.00	0.71	1.42	6.84	0.21	1.07	0.14	0.011	4.93	0.49	1.42	6152.9523	6.1530
249.850	0.78	3.33	1.09	0.10	4.48	0.79	1.14	7.28	0.22	0.94	0.11	0.003	2.47	0.26	0.87	6152.9875	6.1530
